Age (kyr),IRM@0.9 AF 120mT (A/m)
955.50,0.16991
955.83,0.18212
956.16,0.18233
956.49,0.1704
956.82,0.15283
957.15,0.13639
957.48,0.12729
957.81,0.12863
958.14,0.14094
958.47,0.16155
958.80,0.1846
959.13,0.20046
959.46,0.20303
959.80,0.19199
960.13,0.17334
960.46,0.15366
960.79,0.13853
961.12,0.13019
961.45,0.12826
961.78,0.13219
962.11,0.14179
962.44,0.15609
962.77,0.17262
963.10,0.18878
963.43,0.20426
963.76,0.22009
964.09,0.23549
964.43,0.24866
964.76,0.25807
965.09,0.2632
965.42,0.26315
965.75,0.25762
966.08,0.24737
966.41,0.23424
966.74,0.22216
967.07,0.21346
967.40,0.20952
967.73,0.20784
968.06,0.20453
968.39,0.19608
968.72,0.18125
969.06,0.16184
969.39,0.14114
969.72,0.12322
970.05,0.1092
970.38,0.098832
970.71,0.089843
971.04,0.08105
971.37,0.071944
971.70,0.064051
972.03,0.058691
972.36,0.057133
972.69,0.058998
973.02,0.063034
973.35,0.067753
973.69,0.072452
974.02,0.07703
974.35,0.081709
974.68,0.087113
975.01,0.093355
975.34,0.099817
975.67,0.10662
976.00,0.11475
976.58,0.12355
977.17,0.13256
977.75,0.14096
978.33,0.14739
978.92,0.15142
979.50,0.15418
980.08,0.15675
980.67,0.16031
981.25,0.16557
981.83,0.17207
982.42,0.17859
983.00,0.18379
983.58,0.18791
984.17,0.19216
984.75,0.19719
985.33,0.20307
985.92,0.2086
986.50,0.21266
987.08,0.21327
987.67,0.20997
988.25,0.20333
988.83,0.19479
989.42,0.18569
990.00,0.17697
990.58,0.16966
991.17,0.16314
991.75,0.157
992.33,0.15104
992.92,0.14421
993.50,0.13535
994.08,0.12286
994.67,0.10654
995.25,0.087704
995.83,0.070407
996.42,0.055793
997.00,0.045208
997.42,0.037829
997.83,0.033489
998.25,0.031979
998.67,0.03306
999.08,
999.50,
999.92,
1000.33,
1000.75,
1001.17,
1001.58,
1002.00,
1002.42,0.10541
1002.83,0.11918
1003.25,0.13443
1003.67,0.15128
1004.08,0.16899
1004.50,0.18306
1004.92,0.18975
1005.33,0.1901
1005.75,0.18758
1006.17,0.18621
1006.58,0.18809
1007.00,0.19365
1007.42,0.20243
1007.83,0.21328
1008.25,0.22522
1008.67,0.23603
1009.08,0.24425
1009.50,0.25003
1009.92,0.25516
1010.33,0.26194
1010.75,0.27083
1011.17,0.27988
1011.58,0.28576
1012.00,0.28571
1012.42,0.28015
1012.83,0.27216
1013.25,0.26556
1013.67,0.26082
1014.08,0.25821
1014.50,0.25687
1014.92,0.25663
1015.33,0.25726
1015.75,0.25867
1016.17,0.26098
1016.58,0.26461
1017.00,0.26964
1017.42,0.27595
1017.83,0.28324
1018.25,0.2895
1018.67,0.29121
1019.08,0.28589
1019.50,0.27354
1019.92,0.25711
1020.33,0.24002
1020.75,0.22479
1021.17,0.21154
1021.58,0.19826
1022.00,0.18503
1022.42,0.17206
1022.83,0.16131
1023.25,0.15314
1023.67,0.14707
1024.08,0.14052
1024.50,0.131
1024.92,0.11686
1025.33,0.098147
1025.75,0.078306
1026.17,0.060896
1026.58,0.048483
1027.00,0.041903
1027.34,0.040546
1027.68,0.043731
1028.02,0.050588
1028.37,0.059413
1028.71,0.069081
1029.05,0.079077
1029.39,0.088893
1029.73,0.098035
1030.07,0.10655
1030.41,0.11493
1030.76,0.12336
1031.10,0.1313
1031.44,0.13877
1031.78,0.14569
1032.12,0.15184
1032.46,0.1569
1032.80,0.16053
1033.15,0.16357
1033.49,0.16728
1033.83,0.173
1034.17,0.18062
1034.51,0.18913
1034.85,0.19705
1035.20,0.20353
1035.54,0.2085
1035.88,0.21236
1036.22,0.21552
1036.56,0.21778
1036.90,0.21886
1037.24,0.21882
1037.59,0.21825
1037.93,0.21799
1038.27,0.2189
1038.61,0.22134
1038.95,0.22475
1039.29,0.22786
1039.63,0.22964
1039.98,0.22998
1040.32,0.22921
1040.66,0.22722
1041.00,0.22403
1041.34,0.21995
1041.68,0.21559
1042.02,0.21127
1042.37,0.20715
1042.71,0.2035
1043.05,0.2011
1043.39,0.20077
1043.73,0.20286
1044.07,0.20728
1044.41,0.21363
1044.76,0.22179
1045.10,0.23038
1045.44,0.2391
1045.78,0.24638
1046.12,0.25265
1046.46,0.25764
1046.80,0.26256
1047.15,0.26758
1047.49,0.27333
1047.83,0.27835
1048.24,0.28111
1048.71,0.27956
1049.18,0.27337
1049.66,0.2652
1050.13,0.25679
1050.60,0.24995
1051.08,0.2447
1051.55,0.24117
1052.02,0.23897
1052.49,0.2375
1052.97,0.2365
1053.44,0.23623
1053.91,0.23681
1054.39,0.23788
1054.86,0.23849
1055.33,0.23745
1055.81,0.23346
1056.28,
1056.75,
1057.23,
1057.70,
1060.06,
1060.54,
1061.01,
1061.48,
1061.96,0.20619
1062.43,0.20452
1062.90,0.19768
1063.38,0.18781
1063.85,0.17689
1064.32,0.1662
1064.80,0.15659
1065.27,0.14822
1065.74,0.14069
1066.22,0.133
1066.69,0.12364
1067.16,0.11065
1067.63,0.093959
1068.11,0.075797
1068.58,0.058092
1069.05,0.042688
1069.53,0.031508
1070.00,0.024161
1070.44,0.01995
1070.88,0.018112
1071.31,0.018228
1071.75,0.020073
1072.19,0.023549
1072.63,0.028482
1073.06,0.034268
1073.50,0.040154
1073.94,0.045209
1074.38,0.048417
1074.81,0.049148
1075.25,0.047862
1075.69,0.045799
1076.13,0.044258
1076.56,0.043747
1077.00,0.044053
1077.44,0.044936
1077.88,0.046233
1078.31,0.047802
1078.75,0.049551
1079.19,0.051516
1079.63,0.053396
1080.06,0.054949
1080.50,0.056075
1080.94,0.057114
1081.38,0.058138
1081.81,0.05936
1082.25,0.061129
1082.69,0.063641
1083.13,0.066635
1083.56,0.069866
1084.00,0.073036
1084.44,0.076377
1084.88,0.07984
1085.31,0.083554
1085.75,0.087517
1086.19,0.092011
1086.63,0.097337
1087.06,0.10372
1087.50,0.11121
1087.94,0.11944
1088.38,0.1264
1088.81,0.12989
1089.25,0.12835
1089.69,0.1223
1090.13,0.11345
1090.56,0.10502
1091.00,0.10034
1091.32,0.10326
1091.64,0.11684
1091.96,0.14188
1092.28,0.17698
1092.60,0.21864
1092.92,0.26713
1093.24,0.32082
1093.56,0.37985
1093.88,0.43927
1094.19,0.49455
1094.51,0.53426
1094.83,0.55944
1095.15,0.57293
1095.47,0.58
1095.79,0.58027
1096.11,0.57259
1096.43,0.55776
1096.75,0.53687
1097.07,0.5126
1097.39,0.48655
1097.71,0.46209
1098.03,0.44078
1098.35,0.42535
1098.67,0.41296
1098.99,0.3998
1099.31,0.3835
1099.63,0.36476
1099.95,0.34642
1100.27,0.3291
1100.58,0.31405
1100.90,0.30221
1101.22,0.29308
1101.54,0.28603
1101.86,0.28013
1102.18,0.27617
1102.50,0.27561
1102.82,0.27932
1103.14,0.28604
1103.46,0.29316
1103.78,0.29842
1104.10,0.29991
1104.42,0.2966
1104.74,0.28871
1105.06,0.27945
1105.38,0.27077
1105.70,0.26428
1106.02,0.25924
1106.34,0.25396
1106.65,0.2459
1106.97,0.23507
1107.29,0.2229
1107.61,0.21047
1107.93,0.19855
1108.25,0.18807
1108.57,0.17875
1108.89,0.16955
1109.21,0.15796
1109.53,0.14237
1109.85,0.12271
1110.17,0.10112
1110.49,0.081943
1110.81,0.068105
1111.14,0.058788
1111.48,0.052942
1111.82,0.049152
1112.16,0.047435
1112.50,0.049176
1112.84,0.054779
1113.18,0.062695
1113.52,0.069223
1113.86,0.073037
1114.21,0.074976
1114.55,0.077092
1114.89,0.080405
1115.23,0.085607
1115.57,0.092982
1115.91,0.10244
1116.25,
1116.59,
1116.93,
1117.28,
1117.62,
1117.96,
1118.30,
1118.64,0.21012
1118.98,0.23778
1119.32,0.25994
1119.66,0.27551
1120.00,0.28266
1120.34,0.28369
1120.69,0.28185
1121.03,0.27967
1121.37,0.27848
1121.71,0.27919
1122.05,0.28302
1122.39,0.29054
1122.73,0.30154
1123.07,0.31384
1123.41,0.32566
1123.76,0.33635
1124.10,0.34707
1124.44,0.35916
1124.78,0.36895
1125.12,0.36957
1125.46,0.35633
1125.80,0.33299
1126.14,0.30899
1126.48,0.2892
1126.82,0.27613
1127.17,0.27014
1127.51,0.27086
1127.85,0.27794
1128.19,0.29039
1128.53,0.3056
1128.87,0.32275
1129.21,0.33756
1129.55,0.34808
1129.89,0.35323
1130.24,0.35428
1130.58,0.35155
1130.92,0.34456
1131.26,0.33516
1131.60,0.32709
1131.94,0.32289
1132.28,0.32177
1132.62,0.32209
1132.96,0.32315
1133.31,0.32513
1133.65,0.32828
1133.99,0.33196
1134.33,0.33476
1134.67,0.33631
1135.01,0.338
1135.35,0.34186
1135.69,0.34787
1136.03,0.35468
1136.37,0.36145
1136.72,0.36936
1137.06,0.38003
1137.40,0.39532
1137.74,0.41185
1138.08,0.42224
1138.42,0.42327
1138.76,0.41889
1139.10,0.41457
1139.44,0.4111
1139.79,0.40531
1140.13,0.39493
1140.47,0.38096
1140.81,0.36846
1141.15,0.36174
1141.49,0.36257
1141.83,0.37084
1142.17,0.38662
1142.51,0.40739
1142.85,0.42825
1143.20,0.44224
1143.54,0.44888
1143.88,0.45164
1144.22,0.45676
1144.56,0.46643
1144.90,0.478
1145.24,0.48586
1145.58,0.48639
1145.92,0.47887
1146.27,0.46534
1146.61,0.45068
1146.95,0.43973
1147.29,0.43487
1147.63,0.43365
1147.97,0.43316
1148.31,0.43254
1148.65,0.43152
1148.99,0.4282
1149.33,0.4197
1149.68,0.40322
1150.02,0.37715
1150.36,0.34288
1150.70,0.30625
1151.04,0.27277
1151.38,0.24604
1151.72,0.22675
1152.06,0.21398
1152.40,0.20592
1152.75,0.20226
1153.09,0.20262
1153.43,0.2072
1153.77,0.2148
1154.11,0.22306
1154.45,0.22983
1154.79,0.23383
1155.13,0.23551
1155.47,0.23525
1155.81,0.23295
1156.16,0.22851
1156.50,0.2229
1156.84,0.2165
1157.18,0.20947
1157.52,0.20219
1157.86,0.19375
1158.20,0.18437
1158.54,0.17382
1158.88,0.16169
1159.23,0.14958
1159.57,0.13782
1159.91,0.12795
1160.25,0.12074
1160.59,0.11687
1160.93,0.11614
1161.27,0.11679
1161.61,0.11614
1161.95,0.11157
1162.29,0.10185
1162.64,0.08747
1162.98,0.071421
1163.32,0.056521
1163.66,0.045376
1164.00,0.039225
1164.33,0.037881
1164.67,0.041531
1165.00,0.050266
1165.33,0.063433
1165.67,0.080119
1166.00,0.098024
1166.33,0.11408
1166.67,0.12623
1167.00,0.13354
1167.33,
1167.67,
1168.00,
1168.33,
1168.67,
1169.00,
1169.33,
1169.67,0.28052
1170.00,0.26299
1170.33,0.24576
1170.67,0.2346
1171.00,0.22848
1171.33,0.22475
1171.67,0.21936
1172.00,0.2093
1172.33,0.19545
1172.67,0.18186
1173.00,0.17137
1173.33,0.1645
1173.67,0.16063
1174.00,0.15892
1174.33,0.15864
1174.65,0.15868
1174.67,
1175.00,0.16
1175.33,0.169
1175.67,0.177
1176.00,0.187
1176.33,0.197
1176.67,0.208
1177.00,0.218
1177.33,0.224
1177.67,0.227
1178.00,0.226
1178.33,0.223
1178.67,0.219
1179.00,0.214
1179.33,0.207
1179.67,0.201
1180.00,0.197
1180.33,0.193
1180.67,0.19
1181.00,0.185
1181.33,0.179
1181.67,0.171
1182.00,0.161
1182.33,0.149
1182.67,0.136
1183.00,0.122
1183.33,0.108
1183.67,0.0952
1184.00,0.0859
1184.33,0.0815
1184.67,0.082
1185.01,0.0877
1185.37,0.0992
1185.74,0.115
1186.11,0.135
1186.48,0.153
1186.84,0.167
1187.21,0.173
1187.58,0.173
1187.94,0.167
1188.31,0.157
1188.68,0.144
1189.05,0.134
1189.41,0.131
1189.78,0.136
1190.15,0.149
1190.52,0.169
1190.88,0.198
1191.25,0.236
1191.62,0.285
1191.98,0.341
1192.35,0.394
1192.72,0.433
1193.09,0.448
1193.45,0.437
1193.82,0.407
1194.19,0.367
1194.56,0.326
1194.92,0.291
1195.29,0.266
1195.66,0.249
1196.03,0.238
1196.39,0.231
1196.76,0.228
1197.13,0.226
1197.49,0.225
1197.86,0.225
1198.23,0.227
1198.60,0.229
1198.96,0.23
1199.33,0.229
1199.70,0.228
1200.07,0.225
1200.43,0.223
1200.80,0.222
1201.17,0.222
1201.54,0.224
1201.90,0.226
1202.27,0.228
1202.64,0.229
1203.00,0.23
1203.37,0.23
1203.74,0.23
1204.11,0.23
1204.47,0.234
1204.84,0.243
1205.21,0.257
1205.58,0.278
1205.94,0.307
1206.31,0.344
1206.68,0.389
1207.04,0.444
1207.41,0.506
1207.78,0.561
1208.15,0.591
1208.51,0.583
1208.88,0.548
1209.25,0.507
1209.62,0.472
1209.98,0.448
1210.35,0.433
1210.72,0.425
1211.09,0.421
1211.45,0.42
1211.82,0.416
1212.19,0.406
1212.55,0.39
1212.92,0.367
1213.29,
1213.66,
1214.02,
1214.39,
1214.76,
1215.13,
1215.49,
1215.86,0.318
1216.23,0.319
1216.60,0.316
1216.96,0.316
1217.33,0.325
1217.70,0.34
1218.06,0.358
1218.43,0.37
1218.80,0.374
1219.17,0.371
1219.53,0.363
1219.90,0.354
1220.27,0.346
1220.64,0.342
1221.00,0.345
1221.37,0.352
1221.74,0.358
1222.11,0.361
1222.47,0.358
1222.84,0.349
1223.21,0.338
1223.57,0.328
1223.94,0.322
1224.31,0.318
1224.68,0.317
1225.04,0.32
1225.41,0.325
1225.78,0.334
1226.15,0.348
1226.51,0.367
1226.88,0.392
1227.25,0.419
1227.61,0.438
1227.98,0.441
1228.35,0.423
1228.72,0.392
1229.08,0.357
1229.45,0.324
1229.82,0.296
1230.19,0.273
1230.55,0.253
1230.92,0.237
1231.29,0.223
1231.66,0.211
1232.02,0.2
1232.39,0.19
1232.76,0.182
1233.12,0.177
1233.49,0.174
1233.86,0.173
1234.23,0.173
1234.59,0.172
1234.96,0.171
1235.33,0.171
1235.70,0.173
1236.06,0.174
1236.75,0.18368
1237.08,0.18614
1237.42,0.1896
1237.76,0.19438
1238.10,0.19973
1238.44,0.20508
1238.78,0.20985
1239.12,0.21279
1239.46,0.2128
1239.79,0.20916
1240.13,0.20327
1240.47,0.19672
1240.81,0.19141
1241.15,0.18818
1241.49,0.18906
1241.83,0.19729
1242.17,0.21569
1242.51,0.24372
1242.84,0.27689
1243.18,0.30764
1243.52,0.32971
1243.86,0.34198
1244.20,0.34576
1244.54,0.34432
1244.88,0.3397
1245.22,0.33274
1245.55,0.32346
1245.89,0.31287
1246.23,0.30337
1246.57,0.29739
1246.91,0.29502
1247.25,0.29452
1247.59,0.2939
1247.93,0.29199
1248.27,0.28862
1248.60,0.28387
1248.94,0.27822
1249.28,0.27088
1249.62,0.26355
1249.96,0.257
1250.30,0.25184
1250.64,0.24868
1250.98,0.24743
1251.32,0.24747
1251.65,0.24807
1251.99,0.24875
1252.33,0.24959
1252.67,0.25154
1253.01,0.25521
1253.35,0.2593
1253.69,0.26287
1254.03,0.26536
1254.36,0.26716
1254.70,0.2687
1255.04,0.26965
1255.38,0.26968
1255.72,0.26851
1256.06,0.26619
1256.40,0.26312
1256.74,0.26001
1257.08,0.25729
1257.41,0.25521
1257.75,0.25372
1258.09,0.2531
1258.43,0.25384
1258.77,0.25609
1259.11,0.25845
1259.45,0.25912
1259.79,0.25773
1260.12,0.25671
1260.46,0.25898
1260.80,0.26512
1261.14,0.2722
1261.48,0.27727
1261.82,0.27829
1262.16,0.27531
1262.50,0.2692
1262.84,0.26147
1263.17,0.25368
1263.51,0.24654
1263.85,0.24236
1264.19,0.2431
1264.53,0.24951
1264.87,0.25963
1265.21,0.26958
1265.55,0.27281
1265.88,0.26628
1266.22,0.2513
1266.56,0.23521
1266.90,0.22174
1267.24,0.21249
1267.58,0.20585
1267.92,0.2002
1268.26,0.19413
1268.60,0.18724
1268.93,0.17878
1269.27,0.16892
1269.61,0.15762
1269.95,0.14526
1270.29,0.13186
1270.63,
1270.97,
1271.31,
1271.64,
1271.98,
1272.32,
1272.66,
1273.00,
1273.34,0.096806
1273.68,0.096651
1274.02,0.092341
1274.36,0.085032
1274.69,0.07609
1275.03,0.066829
1275.37,0.058792
1275.73,0.052131
1276.09,0.047112
1276.45,0.043523
1276.80,0.041446
1277.16,0.040388
1277.52,0.039906
1277.88,0.039521
1278.23,0.039219
1278.59,0.03906
1278.95,0.039216
1279.31,0.040095
1279.66,0.042365
1280.02,0.046087
1280.39,0.051133
1280.76,0.057835
1281.13,0.066212
1281.50,0.075165
1281.87,0.082965
1282.24,0.088553
1282.61,0.091838
1282.98,0.094777
1283.35,0.10034
1283.72,0.1114
1284.09,0.12713
1284.46,0.14556
1284.83,0.16357
1285.20,0.18221
1285.57,0.20115
1285.94,0.2185
1286.31,0.22807
1286.68,0.22818
1287.05,0.22397
1287.42,0.22091
1287.79,0.22131
1288.16,0.22498
1288.53,0.23081
1288.90,0.23931
1289.27,0.25176
1289.64,0.27141
1290.01,0.29679
1290.38,0.32559
1290.75,0.34831
1291.12,0.35923
1291.49,0.35827
1291.86,0.35098
1292.22,0.34201
1292.59,0.33245
1292.96,0.32365
1293.33,0.31747
1293.70,0.31707
1294.07,0.32438
1294.44,0.33862
1294.81,0.35617
1295.18,0.37121
1295.55,0.37969
1295.92,0.37894
1296.29,0.37231
1296.66,0.36397
1297.03,0.35802
1297.40,0.35676
1297.77,0.36036
1298.14,0.36718
1298.51,0.37395
1298.88,0.37937
1299.25,0.38168
1299.62,0.38093
1299.99,0.3775
1300.36,0.37084
1300.73,0.36126
1301.10,0.34954
1301.47,0.33933
1301.84,0.33221
1302.21,0.33049
1302.58,0.33485
1302.95,0.34316
1303.32,0.34969
1303.69,0.34735
1304.06,0.33182
1304.43,0.30516
1304.80,0.27524
1305.17,0.25019
1305.54,0.22998
1305.91,0.21606
1306.28,0.20556
1306.65,0.1979
1307.02,0.19326
1307.39,0.19184
1307.76,0.19393
1308.13,0.19907
1308.49,0.20529
1308.86,0.20961
1309.23,0.20893
1309.60,0.20188
1309.97,0.19026
1310.34,0.17709
1310.71,0.16489
1311.08,0.15498
1311.45,0.14685
1311.82,0.13921
1312.19,0.13036
1312.56,0.11953
1312.93,0.10613
1313.30,0.092113
1313.67,0.079115
1314.04,0.068093
1314.41,0.060141
1314.78,0.055912
1315.15,0.056709
1315.51,0.062559
1315.88,0.071131
1316.25,0.079512
1316.62,0.084464
1316.99,0.086595
1317.35,0.088884
1317.72,0.093299
1318.09,0.099722
1318.46,0.10683
1318.82,0.11308
1319.19,0.11898
1319.56,0.12526
1319.93,0.13227
1320.29,0.14011
1320.66,0.14902
1321.03,0.15766
1321.40,0.16541
1321.76,0.17024
1322.13,0.17127
1322.50,0.16928
1322.87,0.16572
1323.24,0.16173
1323.60,0.15781
1323.97,0.15457
1324.34,0.1519
1324.71,0.14946
1325.07,0.14616
1325.44,0.14123
1325.81,
1326.18,
1326.54,
1326.91,
1327.28,
1327.65,
1328.01,
1328.38,0.15639
1328.75,0.16415
1329.12,0.16859
1329.49,0.17068
1329.85,0.17119
1330.22,0.17127
1330.59,0.17192
1330.96,0.17371
1331.32,0.17719
1331.69,0.18281
1332.06,0.18903
1332.43,0.19437
1332.79,0.19762
1333.16,0.19877
1333.53,0.19862
1333.90,0.19797
1334.26,0.19683
1334.63,0.19468
1335.00,0.19093
1335.34,0.18606
1335.67,0.18138
1336.01,0.17953
1336.34,0.18372
1336.67,0.19628
1337.00,0.21456
1337.32,0.23367
1337.65,0.24959
1337.97,0.26149
1338.30,0.27099
1338.63,0.28104
1338.95,0.29223
1339.28,0.30312
1339.61,0.31086
1339.93,0.31333
1340.26,0.31189
1340.58,0.30709
1340.91,0.29801
1341.24,0.28398
1341.56,0.2669
1341.89,0.25001
1342.21,0.23559
1342.54,0.22381
1342.87,0.21474
1343.19,0.20781
1343.52,0.20286
1343.84,0.19923
1344.17,0.19675
1344.50,0.19562
1344.82,0.19537
1345.15,0.1957
1345.48,0.19658
1345.80,0.19807
1346.13,0.20002
1346.45,0.20188
1346.78,0.20324
1347.11,0.20374
1347.43,0.20334
1347.76,0.20218
1348.08,0.20052
1348.41,0.19856
1348.74,0.19627
1349.06,0.19338
1349.39,0.18905
1349.71,0.18267
1350.04,0.1742
1350.37,0.16469
1350.69,0.15528
1351.02,0.14647
1351.35,0.13941
1351.67,0.13402
1352.00,0.13011
1352.32,0.12707
1352.65,0.1234
1352.98,0.11716
1353.30,0.10792
1353.63,0.095364
1353.95,0.081383
1354.28,0.067808
1354.61,0.055685
1354.93,0.046725
1355.26,0.040852
1355.58,0.037645
1355.91,0.036347
1356.23,0.036687
1356.55,0.038849
1356.86,0.042209
1357.18,0.044612
1357.49,0.044911
1357.81,0.044824
1358.12,0.046723
1358.44,0.050335
1358.82,0.053484
1359.20,0.054873
1359.58,0.054566
1359.97,0.052786
1360.35,0.049796
1360.73,0.046397
1361.11,0.043275
1361.49,0.04093
1361.87,0.039471
1362.26,0.039032
1362.64,0.039572
1363.02,0.041052
1363.40,0.043521
1363.78,0.046701
1364.17,0.050477
1364.55,0.0543
1364.93,0.058061
1365.31,0.061233
1365.69,0.063616
1366.07,0.065158
1366.46,0.066024
1366.84,0.066324
1367.22,0.06634
1367.60,0.066476
1367.98,0.067377
1368.36,0.069499
1368.75,0.07324
1369.13,0.078531
1369.51,0.085343
1369.89,0.093503
1370.27,0.10245
1370.66,0.11314
1371.04,0.12485
1371.42,0.13819
1371.80,0.15191
1372.18,0.16435
1372.56,0.17357
1372.95,0.17872
1373.33,0.18057
1373.71,0.18071
1374.09,0.18057
1374.47,0.18111
1374.85,0.18298
1375.24,0.1874
1375.62,0.19642
1376.00,0.20992
1376.41,0.22511
1376.81,0.23718
1377.22,0.24377
1377.63,0.24596
1378.03,0.24533
1378.44,0.24136
1378.84,
1379.25,
1379.66,
1380.06,
1380.47,
1380.88,
1381.28,
1381.69,0.20741
1382.10,0.21168
1382.50,0.21337
1382.91,0.2138
1383.32,0.21368
1383.72,0.2142
1384.13,0.21686
1384.53,0.22286
1384.94,0.23082
1385.35,0.23628
1385.75,0.23508
1386.16,0.22601
1386.57,0.21164
1386.97,0.19705
1387.38,0.18577
1387.79,0.179
1388.19,0.17558
1388.60,0.17433
1389.00,0.17436
1389.41,0.17494
1389.82,0.17563
1390.22,0.17607
1390.63,0.17619
1391.04,0.17614
1391.44,0.176
1391.85,0.17583
1392.26,0.17476
1392.66,0.17427
1393.07,0.1721
1393.48,0.1684
1393.88,0.16302
1394.29,0.15613
1394.69,0.14819
1395.10,0.13887
1395.51,0.12759
1395.91,0.11439
1396.32,0.10031
1396.73,0.088605
1397.13,0.081865
1397.54,0.080576
1397.95,0.083035
1398.33,0.087038
1398.72,0.091088
1399.10,0.094532
1399.49,0.097852
1399.86,0.10095
1400.23,0.10387
1400.61,0.10719
1400.98,0.1119
1401.35,0.11796
1401.72,0.12475
1402.09,0.13117
1402.47,0.13799
1402.84,0.14555
1403.21,0.15418
1403.58,0.16293
1403.95,0.17119
1404.33,0.17847
1404.70,0.18478
1405.07,0.19015
1405.44,0.19584
1405.82,0.20231
1406.19,0.21048
1406.56,0.2212
1406.93,0.23407
1407.30,0.24754
1407.68,0.25981
1408.05,0.26954
1408.42,0.27788
1408.79,0.28593
1409.16,0.29498
1409.54,0.30391
1409.91,0.31033
1410.28,0.31054
1410.65,0.30515
1411.03,0.29676
1411.40,0.28781
1411.77,0.27893
1412.14,0.27157
1412.51,0.26761
1412.89,0.2679
1413.26,0.27243
1413.63,0.28009
1414.00,0.28982
1414.37,0.29999
1414.75,0.30975
1415.12,0.3171
1415.49,0.32045
1415.86,0.31698
1416.27,0.3053
1416.69,0.28865
1417.10,0.27224
1417.51,0.25906
1417.92,0.25012
1418.33,0.24584
1418.74,0.24664
1419.15,0.25322
1419.57,0.26602
1419.98,0.28362
1420.39,0.30383
1420.80,0.32291
1421.21,0.33709
1421.62,0.34319
1422.03,0.34009
1422.44,0.3302
1422.86,0.31745
1423.27,0.30397
1423.68,0.28995
1424.09,0.27425
1424.50,0.2561
1424.91,0.23404
1425.32,0.20963
1425.73,0.18461
1426.15,0.15935
1426.56,0.13646
1426.97,0.11429
1427.38,0.093705
1427.79,0.074138
1428.20,0.057705
1428.61,0.044279
1429.02,0.035452
1429.40,0.030179
1429.78,0.028522
1430.16,0.030284
1430.53,0.035512
1430.91,0.044729
1431.29,0.056249
1431.65,0.067175
1432.01,0.072769
1432.38,0.072781
1432.74,0.070158
1433.10,0.067794
1433.46,0.066213
1433.82,0.064444
1434.19,0.061578
1434.55,0.057756
1434.91,0.053871
1435.27,0.050524
1435.63,
1436.00,
1436.36,
1436.72,
1438.53,
1438.89,
1439.25,
1439.62,
1439.98,0.15829
1440.34,0.17201
1440.70,0.17878
1441.06,0.17782
1441.43,0.17207
1441.79,0.16458
1442.15,0.15689
1442.51,0.14846
1442.87,0.14012
1443.24,0.13324
1443.60,0.12863
1443.90,0.12553
1444.20,0.12205
1444.50,0.11639
1444.79,0.10866
1445.09,0.10168
1445.39,0.09796
1445.69,0.098064
1445.99,0.10095
1446.29,0.10473
1446.59,0.10699
1446.89,0.10595
1447.19,0.10121
1447.49,0.093746
1447.79,0.085892
1448.09,0.078872
1448.38,0.073308
1448.68,0.068657
1448.98,0.064433
1449.39,0.061291
1449.81,0.05972
1450.23,0.060145
1450.64,0.062858
1451.06,0.068113
1451.48,0.07618
1451.89,0.087289
1452.31,0.10161
1452.73,0.11772
1453.14,0.13435
1453.56,0.14898
1453.98,0.16191
1454.39,0.17355
1454.81,0.18483
1455.23,0.19585
1455.64,0.20682
1456.06,0.21755
1456.48,0.22757
1456.89,0.23715
1457.31,0.24668
1457.73,0.2554
1458.14,0.26403
1458.56,0.27198
1458.98,0.28042
1459.39,0.28823
1459.81,0.29451
1460.23,0.29843
1460.64,0.30012
1461.06,0.29973
1461.48,0.29678
1461.89,0.29063
1462.31,0.28037
1462.73,0.26718
1463.14,0.25251
1463.56,0.23697
1463.98,0.22139
1464.39,0.20579
1464.81,0.19077
1465.23,0.17567
1465.64,0.15862
1466.06,0.13879
1466.48,0.1154
1466.89,0.091591
1467.31,0.070469
1467.73,0.052819
1468.14,0.039727
1468.56,0.030642
1468.98,0.025465
1469.39,0.023038
1469.81,0.022267
1470.23,0.02177
1470.64,0.0207
1471.05,0.019349
1471.43,0.018349
1471.81,0.018094
1472.19,0.018825
1472.57,0.020523
1472.95,0.022658
1473.33,0.025013
1473.70,0.027252
1474.08,0.029249
1474.46,0.03092
1474.87,0.032164
1475.27,0.033175
1475.68,0.034143
1476.09,0.035158
1476.50,0.036297
1476.90,0.037471
1477.31,0.038693
1477.72,0.039867
1478.12,0.040999
1478.53,0.042056
1478.94,0.042907
1479.35,0.043587
1479.75,0.044241
1480.16,0.044969
1480.57,0.045825
1480.97,0.046614
1481.38,0.047277
1481.79,0.047677
1482.20,0.047718
1482.60,0.047466
1483.01,0.047033
1483.42,0.046499
1483.82,0.046083
1484.23,0.046062
1484.64,0.046681
1485.05,0.048254
1485.45,0.051126
1485.86,0.055712
1486.27,0.061903
1486.67,0.06946
1487.08,0.077224
1487.49,0.08591
1487.90,0.096186
1488.30,0.10884
1488.71,0.12377
1489.12,0.13852
1489.52,0.15092
1489.93,0.15974
1490.34,0.166
1490.75,0.17071
1491.15,0.17467
1491.56,0.17804
1491.97,0.18097
1492.37,0.18418
1492.78,0.18809
1493.19,0.19285
1493.59,0.19803
1494.00,0.20277
1494.41,0.20632
1494.82,0.2082
1495.22,0.2075
1495.63,0.2025
1496.04,
1496.44,
1496.85,
1497.26,
1497.67,
1498.07,
1498.48,
1498.89,0.19704
1499.29,0.20674
1499.70,0.21311
1500.11,0.21797
1500.52,0.22164
1500.92,0.22441
