Age (kyr),IRM@0.9 AF 120mT (A/m)
98.52,0.429
98.70,0.426
98.89,0.423
99.07,0.417
99.26,0.406
99.44,0.392
99.63,0.379
99.81,0.368
100.00,0.36
100.18,0.354
100.37,0.343
100.55,0.319
100.74,0.282
100.92,0.243
101.11,0.21
101.30,0.186
101.48,0.177
101.67,0.184
101.85,0.207
102.02,0.244
102.12,0.289
102.22,0.341
102.32,0.392
102.42,0.439
102.52,0.472
102.62,0.49
102.72,0.498
102.82,0.502
102.93,0.507
103.03,0.513
103.13,0.518
103.23,0.522
103.33,0.522
103.43,0.518
103.53,0.513
103.63,0.51
103.73,0.509
103.83,0.51
103.93,0.51
104.03,0.512
104.13,0.514
104.23,0.518
104.33,0.523
104.43,0.528
104.53,0.533
104.64,0.533
104.74,0.526
104.84,0.507
104.92,0.476
105.01,0.433
105.10,0.389
105.18,0.358
105.27,0.345
105.35,0.349
105.44,0.371
105.53,0.406
105.61,0.449
105.70,0.495
105.79,0.536
105.87,0.568
105.96,0.587
106.04,0.591
106.13,0.582
106.22,0.562
106.30,0.537
106.39,0.511
106.48,0.488
106.56,0.47
106.65,0.457
106.73,0.448
106.82,0.443
106.91,0.44
106.99,0.437
107.08,0.434
107.16,0.428
107.25,0.418
107.34,0.401
107.42,
107.51,
107.60,
107.68,
108.11,
108.20,
108.29,
108.37,
108.46,0.417
108.54,0.439
108.63,0.446
108.72,0.442
108.80,0.429
108.89,0.415
108.98,0.405
109.06,0.399
109.15,0.396
109.23,0.395
109.32,0.396
109.41,0.396
109.49,0.395
109.58,0.392
109.67,0.388
109.77,0.385
109.87,0.385
109.97,0.385
110.07,0.386
110.17,0.389
110.27,0.393
110.37,0.399
110.47,0.405
110.57,0.411
110.67,0.418
110.77,0.428
110.87,0.44
110.97,0.451
111.07,0.46
111.17,0.465
111.27,0.465
111.38,0.46
111.48,0.45
111.58,0.435
111.68,0.413
111.78,0.382
111.88,0.346
111.98,0.311
112.08,0.282
112.18,0.262
112.28,0.247
112.38,0.237
112.48,0.231
112.58,0.228
112.68,0.23
112.78,0.238
112.88,0.251
112.98,0.27
113.09,0.293
113.19,0.318
113.29,0.34
113.39,0.357
113.49,0.372
113.59,0.384
113.69,0.395
113.79,0.405
113.89,0.412
113.99,0.42
114.09,0.428
114.19,0.436
114.29,0.441
114.39,0.44
114.49,0.436
114.59,0.432
114.70,0.429
114.80,0.427
114.90,0.427
115.00,0.428
115.10,0.429
115.20,0.43
115.30,0.432
115.40,0.435
115.50,0.439
115.57,0.444
115.63,0.451
115.70,0.458
115.77,0.466
115.84,0.472
115.90,0.474
115.97,0.471
116.04,0.463
116.10,0.454
116.17,0.449
116.24,0.444
116.30,0.44
116.43,0.442
116.56,0.451
116.69,0.466
116.82,0.481
116.95,0.494
117.08,0.504
117.21,0.51
117.34,0.512
117.47,0.506
117.60,0.492
117.73,0.469
117.86,0.446
117.99,0.428
118.12,0.417
118.24,0.411
118.37,0.408
118.50,0.408
118.63,0.408
118.76,0.409
118.89,0.408
119.02,0.402
119.15,0.396
119.28,0.392
119.41,0.388
119.54,0.382
119.67,0.37
119.80,0.349
119.93,0.325
120.03,0.303
120.13,0.287
120.23,0.274
120.33,0.262
120.43,0.25
120.53,0.237
120.63,0.225
120.73,0.214
120.83,0.207
120.93,0.203
121.03,0.198
121.13,0.193
121.23,0.187
121.33,0.179
121.43,0.169
121.54,0.156
121.64,0.143
121.74,0.129
121.84,0.116
121.94,0.102
122.04,0.0892
122.14,0.0762
122.25,0.0632
122.35,0.0519
122.46,0.0433
122.57,0.0382
122.67,0.0352
122.78,0.0324
122.88,0.028
122.99,
123.10,
123.20,
123.31,
123.42,
123.52,
123.63,
123.74,
123.84,0.00791
123.95,0.00812
124.13,0.00852
124.37,0.00923
124.61,0.0103
124.85,0.0117
125.10,0.0134
125.34,0.0151
125.58,0.0169
125.82,0.0195
126.06,0.0233
126.31,0.029
126.55,0.0368
126.79,0.0472
127.03,0.0588
127.27,0.0674
127.52,0.0689
127.76,0.0635
128.00,0.0559
128.26,0.0494
128.53,0.0444
128.79,0.0408
129.05,0.0379
129.31,0.0353
129.58,
129.78,
130.03,0.043625
130.29,0.047511
130.54,0.051092
130.79,0.054842
131.05,0.0588
131.30,0.062707
131.56,0.066272
131.81,0.069286
132.06,0.071228
132.32,0.07166
132.57,0.070296
132.79,0.067734
133.01,0.065304
133.23,0.063595
133.45,0.062817
133.67,0.062828
133.89,0.063713
134.10,0.065254
134.32,0.067191
134.54,0.069307
134.76,0.071998
134.98,0.075217
135.20,0.078753
135.42,0.082221
135.64,0.085706
135.86,0.090367
136.08,0.09621
136.30,0.10432
136.51,0.11382
136.73,0.12511
136.95,0.13852
137.17,0.15455
137.39,0.17261
137.61,0.19151
137.83,0.21018
138.05,0.22745
138.27,0.24348
138.49,0.25817
138.70,0.27058
138.92,0.2798
139.14,0.28655
139.36,0.29101
139.58,0.29308
139.80,0.29346
140.02,0.29333
140.24,0.29372
140.46,0.2948
140.68,0.29612
140.90,0.29742
141.11,0.29875
141.33,0.30025
141.55,0.30231
141.77,0.30482
141.99,0.30748
142.21,0.3102
142.43,0.31363
142.65,0.318
142.87,0.3237
143.09,0.32925
143.36,0.33332
143.63,0.33475
143.90,0.33295
144.17,0.32638
144.44,
144.71,
144.98,
145.25,
145.52,
145.79,
146.06,
146.33,0.362
146.60,0.384
146.87,0.402
147.14,0.417
147.41,0.426
147.68,0.427
147.95,0.417
148.22,0.398
148.49,0.371
148.76,0.339
149.03,0.308
149.28,0.28
149.53,0.26
149.78,0.242
150.03,0.228
150.28,0.214
150.53,0.202
150.78,0.191
151.03,0.182
151.28,0.177
151.54,0.175
151.79,0.173
152.04,0.172
152.29,0.168
152.54,0.164
152.79,0.161
153.04,0.159
153.29,0.158
153.54,0.158
153.79,0.162
154.04,0.172
154.29,0.185
154.54,0.2
154.79,0.213
155.05,0.22
155.30,0.221
155.55,0.218
155.80,0.213
156.05,0.211
156.30,0.21
156.55,0.212
156.80,0.216
157.05,0.222
157.30,0.228
157.55,0.233
