,ybp,sealevel,interp.sealevels
488,487000,NA,-14.386
489,488000,NA,-14.034
490,489000,NA,-13.682
491,490000,-13.33,-13.33
492,491000,NA,-12.434
493,492000,NA,-11.538
494,493000,NA,-10.642
495,494000,NA,-9.746
496,495000,NA,-8.85
497,496000,NA,-7.954
498,497000,NA,-7.058
499,498000,NA,-6.162
500,499000,NA,-5.266
501,500000,-4.37,-4.37
502,501000,NA,-6.123
503,502000,NA,-7.876
504,503000,NA,-9.629
505,504000,NA,-11.382
506,505000,NA,-13.135
507,506000,NA,-14.888
508,507000,NA,-16.641
509,508000,NA,-18.394
510,509000,NA,-20.147
511,510000,-21.9,-21.9
512,511000,NA,-22.394
513,512000,NA,-22.888
514,513000,NA,-23.382
515,514000,NA,-23.876
516,515000,NA,-24.37
517,516000,NA,-24.864
518,517000,NA,-25.358
519,518000,NA,-25.852
520,519000,NA,-26.346
521,520000,-26.84,-26.84
522,521000,NA,-23.006
523,522000,NA,-19.172
524,523000,NA,-15.338
525,524000,NA,-11.504
526,525000,NA,-7.67
527,526000,NA,-3.836
528,527000,NA,-0.002
529,528000,NA,3.832
530,529000,NA,7.666
531,530000,11.5,11.5
532,531000,NA,8.84
533,532000,NA,6.18
534,533000,NA,3.52
535,534000,NA,0.86
536,535000,NA,-1.8
537,536000,NA,-4.46
538,537000,NA,-7.12
539,538000,NA,-9.78
540,539000,NA,-12.44
541,540000,-15.1,-15.1
542,541000,NA,-14.69
543,542000,NA,-14.28
544,543000,NA,-13.87
545,544000,NA,-13.46
546,545000,NA,-13.05
547,546000,NA,-12.64
548,547000,NA,-12.23
549,548000,NA,-11.82
550,549000,NA,-11.41
551,550000,-11,-11
552,551000,NA,-12.539
553,552000,NA,-14.078
554,553000,NA,-15.617
555,554000,NA,-17.156
556,555000,NA,-18.695
557,556000,NA,-20.234
558,557000,NA,-21.773
559,558000,NA,-23.312
560,559000,NA,-24.851
561,560000,-26.39,-26.39
562,561000,NA,-24.093
563,562000,NA,-21.796
564,563000,NA,-19.499
565,564000,NA,-17.202
566,565000,NA,-14.905
567,566000,NA,-12.608
568,567000,NA,-10.311
569,568000,NA,-8.014
570,569000,NA,-5.717
571,570000,-3.42,-3.42
572,571000,NA,-1.531
573,572000,NA,0.358
574,573000,NA,2.247
575,574000,NA,4.136
576,575000,NA,6.025
577,576000,NA,7.914
578,577000,NA,9.803
579,578000,NA,11.692
580,579000,NA,13.581
581,580000,15.47,15.47
582,581000,NA,13.335
583,582000,NA,11.2
584,583000,NA,9.065
585,584000,NA,6.93
586,585000,NA,4.795
587,586000,NA,2.66
588,587000,NA,0.525
589,588000,NA,-1.61
590,589000,NA,-3.745
591,590000,-5.88,-5.88
592,591000,NA,-5.223
593,592000,NA,-4.566
594,593000,NA,-3.909
595,594000,NA,-3.252
596,595000,NA,-2.595
597,596000,NA,-1.938
598,597000,NA,-1.281
599,598000,NA,-0.624
600,599000,NA,0.033
601,600000,0.69,0.69
602,601000,NA,1.722
603,602000,NA,2.754
604,603000,NA,3.786
605,604000,NA,4.818
606,605000,NA,5.85
607,606000,NA,6.882
608,607000,NA,7.914
609,608000,NA,8.946
610,609000,NA,9.978
611,610000,11.01,11.01
612,611000,NA,11.221
613,612000,NA,11.432
614,613000,NA,11.643
615,614000,NA,11.854
616,615000,NA,12.065
617,616000,NA,12.276
618,617000,NA,12.487
619,618000,NA,12.698
620,619000,NA,12.909
621,620000,13.12,13.12
622,621000,NA,9.247
623,622000,NA,5.374
624,623000,NA,1.501
625,624000,NA,-2.372
626,625000,NA,-6.245
627,626000,NA,-10.118
628,627000,NA,-13.991
629,628000,NA,-17.864
630,629000,NA,-21.737
631,630000,-25.61,-25.61
632,631000,NA,-23.254
633,632000,NA,-20.898
634,633000,NA,-18.542
635,634000,NA,-16.186
636,635000,NA,-13.83
637,636000,NA,-11.474
638,637000,NA,-9.118
639,638000,NA,-6.762
640,639000,NA,-4.406
641,640000,-2.05,-2.05
642,641000,NA,1.322
643,642000,NA,4.694
644,643000,NA,8.066
645,644000,NA,11.438
646,645000,NA,14.81
647,646000,NA,18.182
648,647000,NA,21.554
649,648000,NA,24.926
650,649000,NA,28.298
651,650000,31.67,31.67
652,651000,NA,24.392
653,652000,NA,17.114
654,653000,NA,9.836
655,654000,NA,2.558
656,655000,NA,-4.72
657,656000,NA,-11.998
658,657000,NA,-19.276
659,658000,NA,-26.554
660,659000,NA,-33.832
661,660000,-41.11,-41.11
662,661000,NA,-42.13
663,662000,NA,-43.15
664,663000,NA,-44.17
665,664000,NA,-45.19
666,665000,NA,-46.21
667,666000,NA,-47.23
668,667000,NA,-48.25
669,668000,NA,-49.27
670,669000,NA,-50.29
671,670000,-51.31,-51.31
672,671000,NA,-50.441
673,672000,NA,-49.572
674,673000,NA,-48.703
675,674000,NA,-47.834
676,675000,NA,-46.965
677,676000,NA,-46.096
678,677000,NA,-45.227
679,678000,NA,-44.358
680,679000,NA,-43.489
681,680000,-42.62,-42.62
682,681000,NA,-38.928
683,682000,NA,-35.236
684,683000,NA,-31.544
685,684000,NA,-27.852
686,685000,NA,-24.16
687,686000,NA,-20.468
688,687000,NA,-16.776
689,688000,NA,-13.084
690,689000,NA,-9.392
691,690000,-5.7,-5.7
692,691000,NA,-6.263
693,692000,NA,-6.826
694,693000,NA,-7.389
695,694000,NA,-7.952
696,695000,NA,-8.515
697,696000,NA,-9.078
698,697000,NA,-9.641
699,698000,NA,-10.204
700,699000,NA,-10.767
701,700000,-11.33,-11.33
702,701000,NA,-13.174
703,702000,NA,-15.018
704,703000,NA,-16.862
705,704000,NA,-18.706
706,705000,NA,-20.55
707,706000,NA,-22.394
708,707000,NA,-24.238
709,708000,NA,-26.082
710,709000,NA,-27.926
711,710000,-29.77,-29.77
712,711000,NA,-32.656
713,712000,NA,-35.542
714,713000,NA,-38.428
715,714000,NA,-41.314
716,715000,NA,-44.2
717,716000,NA,-47.086
718,717000,NA,-49.972
719,718000,NA,-52.858
720,719000,NA,-55.744
721,720000,-58.63,-58.63
722,721000,NA,-53.318
723,722000,NA,-48.006
724,723000,NA,-42.694
725,724000,NA,-37.382
726,725000,NA,-32.07
727,726000,NA,-26.758
728,727000,NA,-21.446
729,728000,NA,-16.134
730,729000,NA,-10.822
731,730000,-5.51,-5.51
732,731000,NA,-9.107
733,732000,NA,-12.704
734,733000,NA,-16.301
735,734000,NA,-19.898
736,735000,NA,-23.495
737,736000,NA,-27.092
738,737000,NA,-30.689
739,738000,NA,-34.286
740,739000,NA,-37.883
741,740000,-41.48,-41.48
742,741000,NA,-42.697
743,742000,NA,-43.914
744,743000,NA,-45.131
745,744000,NA,-46.348
746,745000,NA,-47.565
747,746000,NA,-48.782
748,747000,NA,-49.999
749,748000,NA,-51.216
750,749000,NA,-52.433
751,750000,-53.65,-53.65
752,751000,NA,-52.733
753,752000,NA,-51.816
754,753000,NA,-50.899
755,754000,NA,-49.982
756,755000,NA,-49.065
757,756000,NA,-48.148
758,757000,NA,-47.231
759,758000,NA,-46.314
760,759000,NA,-45.397
761,760000,-44.48,-44.48
762,761000,NA,-41.573
763,762000,NA,-38.666
764,763000,NA,-35.759
765,764000,NA,-32.852
766,765000,NA,-29.945
767,766000,NA,-27.038
768,767000,NA,-24.131
769,768000,NA,-21.224
770,769000,NA,-18.317
771,770000,-15.41,-15.41
772,771000,NA,-13.09
773,772000,NA,-10.77
774,773000,NA,-8.45
775,774000,NA,-6.13
776,775000,NA,-3.81
777,776000,NA,-1.49
778,777000,NA,0.83
779,778000,NA,3.15
780,779000,NA,5.47
781,780000,7.79,7.79
